phrase_text,group_size,confidence_score,priority,final_correction,correction_source,source_documents,unique_companies,total_instances,best_file_name,context
58/8 หมู่ 11 ตําบลหลักสาม อําเภอบ านแพ้ว จังหวัด สมุทรสาคร 74110,3,,HIGH_MULTI_FILE,,needs_manual_review,บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,3,,"Row 6, Col 1: 58/8 หมู่ 11 ตําบลหลักสาม อําเภอบ านแพ้ว จังหวัด ส..."
81/41-42 หมู่ 3 ตําบลบางเดือ อําเภอเมืองปทุมธานี จังหวัด ปทุมธานี 12000,3,,HIGH_MULTI_FILE,,needs_manual_review,ใบตาล เทอร์บายน์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,3,,"Row 5, Col 1: 81/41-42 หมู่ 3 ตําบลบางเดือ อําเภอเมืองปทุมธานี จ..."
18/125 ถนนร่มเกล า แขวงคลองสามประเวศ เขตลาดกระบัง จังหวัดกรุงเทพมหานคร 10520,2,,MEDIUM_MULTI_FILE,,needs_manual_review,บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 5, Col 1: 18/125 ถนนร่มเกล า แขวงคลองสามประเวศ เขตลาดกระบัง ..."
32/747-748 ถนนประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ จังหวัด กรุงเทพมหานคร 10140,2,,MEDIUM_MULTI_FILE,,needs_manual_review,บริษัท ภัทรมารีน จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 5, Col 1: 32/747-748 ถนนประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ จั..."
339 หมู่ 1 ถนนสุรนารายณ์ ตําบลบ านเกาะ อําเภอเมือง นครราชสีมา จังหวัดนครราชสีมา 30000,2,,MEDIUM_MULTI_FILE,,needs_manual_review,บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 6, Col 1: 339 หมู่ 1 ถนนสุรนารายณ์ ตําบลบ านเกาะ อําเภอเมือง..."
5/7 หมู่ 2 ตําบลคลองเจ็ด อําเภอคลองหลวง จังหวัดปทุมธานี 12120,2,,MEDIUM_MULTI_FILE,,needs_manual_review,บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 6, Col 1: 5/7 หมู่ 2 ตําบลคลองเจ็ด อําเภอคลองหลวง จังหวัดปทุ..."
จํานวนหุ ้น - ทีออกและเรียกชําระแล ว,2,,MEDIUM_MULTI_FILE,จำนวนหุ้น - ที่ออกและเรียกชำระแล้ว,dictionary_character_fix,บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 16, Col 0: จํานวนหุ ้น - ทีออกและเรียกชําระแล ว..."
นายแสงชัย โชติช่วงชัชวาล นายปเนต จงวัฒนา นายสุเมธ เจียมบุตร นางสาววรรณพร ตฤณวิสุทธิกุล นายพิทักษ์ ชมชืน กรรมการสองในห้าคนนีลงลายมือชือร่วมกัน,2,,MEDIUM_MULTI_FILE,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 10, Col 1: นายแสงชัย โชติช่วงชัชวาล นายปเนต จงวัฒนา นายสุเมธ ..."
บมจ,2,,MEDIUM_MULTI_FILE,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Related.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 6, Col 1: พัฒน์กล ( บมจ .)..."
ประกอบกิจการรับเหมาก่อสร ้างอาคาร อาคาร พาณิชย์ อาคารทีพักอาศัย สถานทีทําการ ถนน สะพาน เขือน อุโมงค์ และงานก่อสร้ างอย่างอืนทุกชนิด รวมทังรับ ทํางานโยธาทุกประเภท,2,,MEDIUM_MULTI_FILE,,needs_manual_review,ใบตาล เทอร์บายน์ จำกัด_Gen Info.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 9, Col 1: ( ล่าสุด ) ประกอบกิจการรับเหมาก่อสร ้างอาคาร อาคาร..."
ภาษีเงินได เกียวกับรายการทีต องไม่จัดประเภทรายการใหม่เข าไปไว้ ในกําไรหรือ ขาดทุนในภายหลัง,2,,MEDIUM_MULTI_FILE,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Others.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 18, Col 0: ภาษีเงินได เกียวกับรายการทีต องไม่จัดประเภทรายการใ..."
มูลค่าของงานส่วนทีเสร็จแต่ยังไม่ถึงกําหนดเรียกชําระเงิน - หมุนเวียน,2,,MEDIUM_MULTI_FILE,,needs_manual_review,บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_BS67.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 4, Col 0: มูลค่าของงานส่วนทีเสร็จแต่ยังไม่ถึงกําหนดเรียกชําร..."
รวมรายการทีจะไม่ถูกจัดประเภทรายการใหม่เข้าไปไว้ในกําไรหรือขาดทุนใน ภายหลัง - สุทธิจากภาษี,2,,MEDIUM_MULTI_FILE,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Others.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 19, Col 0: รวมรายการทีจะไม่ถูกจัดประเภทรายการใหม่เข้าไปไว้ในก..."
รวมหนิสินและส่วนของผู้ถือหุ้น,2,,MEDIUM_MULTI_FILE,รวมหนีสินและส่วนของผู้ถือหุ้น,dictionary_character_fix,บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 12, Col 0: รวมหนิสินและส่วนของผู้ถือหุ้น..."
รายการทีจะไม่ถูกจัดประเภทรายการใหม่เข้าไปไว้ในกําไรหรือขาดทุนในภาย หลัง,2,,MEDIUM_MULTI_FILE,,needs_manual_review,บริษัท ไทจีนิค จำกัด_Others.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 16, Col 0: รายการทีจะไม่ถูกจัดประเภทรายการใหม่เข้าไปไว้ในกําไ..."
เอส,2,,MEDIUM_MULTI_FILE,,needs_manual_review,บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Shareholders.pdf,Uncategorized; ไม่ระบุบริษัท,2,,"Row 0, Col 1: บริษัท เอ . เจ . เอส . โฮลดิง จํากัด..."
